X,Y,Z,LABEL 0 OR 1
1.431,4.03,7.012,0
1.274,4.422,6.933,0
1.117,4.658,7.09,0
0.882,4.815,7.247,0
0.647,4.815,7.482,0
0.254,4.893,7.796,0
0.176,4.815,8.11,0
0.019,4.736,8.188,0
-0.058,4.815,8.424,0
0.019,4.815,8.738,0
0.098,4.658,8.973,0
0.254,4.501,9.287,0
0.49,4.501,9.757,0
0.725,4.422,9.914,0
0.725,4.187,10.071,0
0.568,4.03,9.993,0
0.49,3.716,9.914,0
0.176,3.481,9.757,0
-0.137,3.403,9.522,0
-0.529,3.246,9.287,0
-0.843,3.089,9.051,0
-1.157,2.932,8.973,0
-1.471,2.618,9.13,0
-1.549,2.304,9.365,0
-1.471,2.226,9.679,0
-1.314,2.147,9.993,0
-1.078,2.304,10.307,0
-1,2.54,10.464,0
-1.078,2.618,10.464,0
-1.078,2.618,10.228,0
-1.078,2.696,9.836,0
-0.921,2.775,9.208,0
-0.843,2.932,8.659,0
-0.608,3.01,8.188,0
-0.215,3.246,8.11,0
0.019,3.403,8.11,0
0.098,3.481,8.11,0
0.176,3.481,7.875,0
0.176,3.481,7.561,0
0.254,3.481,7.09,0
0.647,3.481,6.698,0
1.196,3.559,6.462,0
1.588,3.638,6.227,0
1.588,3.716,6.07,0
1.51,3.795,6.227,0
1.196,3.795,6.384,0
0.804,3.716,6.855,1
0.411,3.403,7.404,0
0.254,3.089,7.718,0
0.333,2.932,7.718,0
0.647,2.696,7.561,0
1.117,2.775,7.325,0
1.353,2.932,7.482,0
1.431,3.01,7.404,0
1.51,2.932,7.325,1
3.236,3.559,12.817,1
12.258,4.187,29.45,0
12.258,4.187,29.45,1
4.177,2.304,11.091,1
2.373,3.559,8.188,1
1.667,3.952,7.639,0
1.667,3.952,7.639,1
0.961,4.579,9.287,1
1.274,3.324,9.757,0
1.274,3.324,9.757,0
1.51,3.246,10.15,0
1.353,3.324,9.914,0
1.196,3.403,9.757,0
1.196,3.559,10.228,0
1.039,3.559,9.914,0
0.961,3.481,9.444,1
1.117,3.246,8.581,0
1.196,3.324,8.267,0
1.824,3.481,8.188,1
2.373,3.559,8.738,1
1.902,3.873,9.365,1
0.961,3.559,9.208,1
4.256,3.167,9.365,1
3.785,3.167,8.816,1
2.451,3.089,7.247,1
2.53,2.932,8.581,1
1.902,2.932,9.365,1
2.53,2.853,8.659,0
2.687,2.775,9.287,1
1.824,2.304,7.875,0
1.588,2.069,7.404,0
1.824,2.304,7.247,1
2.922,3.089,7.404,1
3.707,4.03,7.247,1
4.57,4.658,8.659,1
4.648,4.972,10.542,1
2.844,4.579,8.502,0
