X,Y,Z,Target 
-1.15,0.873,10.73,0
-1.131,0.969,10.577,0
-1.054,0.892,9.945,0
-0.997,0.701,9.389,0
-0.805,0.49,8.891,0
-0.805,0.318,8.087,1
-0.786,0.145,7.187,1
-0.594,-0.084,6.536,1
-0.575,-0.257,5.712,0
-0.441,-0.353,5.176,1
-0.403,-0.544,4.295,0
-0.326,-0.64,3.854,0
-0.403,-0.64,3.528,0
-0.25,-0.64,3.375,0
-0.23,-0.41,3.605,0
-0.556,-0.008,3.854,1
-0.403,0.529,4.965,1
-0.403,1.122,7.378,1
-0.556,1.525,9.16,1
-0.652,1.85,11.228,1
-0.594,1.793,14.867,1
-0.23,0.72,18.162,1
-0.25,0.145,19.311,1
-0.575,-0.582,19.158,1
-0.69,-0.927,17.932,1
-0.69,-1.31,15.308,1
-0.748,-1.31,13.412,1
-0.958,-1.406,11.018,1
-0.997,-1.176,8.604,1
-0.997,-1.042,7.512,1
-0.882,-0.716,6.727,0
-0.671,-0.448,7.053,1
-0.269,0.107,8.451,1
-0.001,0.414,9.619,1
0.076,0.778,11.286,1
0.21,1.046,12.243,1
0.287,1.352,13.354,0
0.191,1.582,13.891,1
-0.135,1.984,14.772,0
-0.441,2.214,15.097,0
-0.671,2.444,14.982,0
-0.69,2.482,14.216,1
-0.422,2.08,13.258,1
-0.288,1.62,11.477,1
-0.422,1.448,10.251,1
-0.46,1.122,8.642,1
-0.403,0.892,7.666,1
-0.365,0.624,6.899,1
-0.499,0.184,6.421,0
-0.556,-0.104,6.133,0
-0.594,-0.372,6.248,0
-0.767,-0.659,6.689,0
-0.901,-0.793,7.321,0
-0.939,-0.831,7.723,0
-0.882,-0.793,8.221,0
-0.805,-0.736,8.451,0
-0.805,-0.563,8.7,0
-0.728,-0.353,8.642,0
-0.786,-0.104,8.604,0
-0.824,0.011,8.738,0
-0.901,0.184,8.93,0
-0.958,0.356,9.198,0
-1.073,0.49,9.428,0
-1.246,0.548,9.638,0
-1.322,0.49,9.849,0
-1.38,0.49,9.887,0
-1.418,0.433,9.849,0
-1.514,0.337,9.83,0
